"2024-08-26 04:25:20,542",0.220,0.035
"2024-08-26 04:56:06,887",0.264,0.021
"2024-08-26 05:26:52,984",0.264,0.006
"2024-08-26 05:57:39,432",0.220,0.036
"2024-08-26 06:28:25,673",0.264,0.021
"2024-08-26 06:59:11,051",0.220,0.050
"2024-08-26 07:30:02,284",0.264,0.036
"2024-08-26 08:00:48,532",0.264,0.021
"2024-08-26 08:31:34,960",0.264,0.049
"2024-08-26 09:02:21,216",0.264,-0.010
"2024-08-26 09:33:07,580",0.264,0.018
"2024-08-26 10:03:54,252",0.264,0.047
"2024-08-26 10:34:40,715",0.264,0.031
"2024-08-26 11:05:27,417",0.264,0.015
"2024-08-26 11:36:14,081",0.264,-0.001
"2024-08-26 12:07:00,855",0.220,0.026
"2024-08-26 12:37:47,111",0.264,0.010
"2024-08-26 13:08:33,739",0.220,0.037
"2024-08-26 13:39:20,523",0.308,-0.023
"2024-08-26 14:10:06,902",0.220,0.048
"2024-08-26 14:40:56,315",0.220,0.031
"2024-08-26 15:11:49,085",0.264,0.015
"2024-08-26 15:42:51,644",0.220,0.044
"2024-08-26 16:13:38,504",0.264,0.027
"2024-08-26 16:44:25,538",0.308,0.009
"2024-08-26 17:15:12,335",0.220,0.035
"2024-08-26 17:45:59,429",0.264,0.018
"2024-08-26 18:16:46,161",0.264,0.044
"2024-08-26 18:47:33,195",0.264,0.025
"2024-08-26 19:18:25,027",0.308,-0.036
"2024-08-26 19:49:12,234",0.176,0.033
"2024-08-26 20:19:59,560",0.308,-0.029
"2024-08-26 20:50:46,451",0.176,0.040
"2024-08-26 21:21:33,577",0.264,0.022
"2024-08-26 21:52:20,529",0.264,0.002
"2024-08-26 22:23:07,813",0.220,0.027
"2024-08-26 22:53:55,349",0.264,0.008
"2024-08-26 23:24:42,385",0.220,0.033
"2024-08-26 23:55:29,652",0.264,0.013
"2024-08-27 00:26:16,609",0.264,-0.007
"2024-08-27 00:57:08,127",0.264,0.018
"2024-08-27 01:27:59,252",0.264,0.043
"2024-08-27 01:58:45,680",0.264,0.023
"2024-08-27 02:29:32,173",0.220,0.046
"2024-08-27 03:00:18,922",0.264,0.026
"2024-08-27 03:31:05,883",0.264,0.049
"2024-08-27 04:01:52,996",0.264,0.029
"2024-08-27 04:32:39,511",0.264,0.008
"2024-08-27 05:03:25,313",0.220,0.031
"2024-08-27 05:34:11,352",0.264,0.009
"2024-08-27 06:04:56,907",0.220,0.032
"2024-08-27 06:35:43,164",0.264,0.010
"2024-08-27 07:06:29,414",0.220,0.033
"2024-08-27 07:37:15,900",0.264,0.011
"2024-08-27 08:08:02,059",0.220,0.033
"2024-08-27 08:38:48,611",0.264,0.011
"2024-08-27 09:09:34,666",0.220,0.033
"2024-08-27 09:40:21,272",0.264,0.010
"2024-08-27 10:11:07,570",0.220,0.032
"2024-08-27 10:41:54,431",0.264,0.009
"2024-08-27 11:12:41,052",0.264,0.030
"2024-08-27 11:43:27,697",0.264,0.008
"2024-08-27 12:14:14,049",0.220,0.028
"2024-08-27 12:45:00,597",0.220,0.049
"2024-08-27 13:15:48,456",0.264,0.026
"2024-08-27 13:46:35,408",0.264,0.047
"2024-08-27 14:17:22,274",0.264,0.023
"2024-08-27 14:48:09,125",0.220,0.044
"2024-08-27 15:19:07,597",0.264,0.022
"2024-08-27 15:49:54,924",0.220,0.042
"2024-08-27 16:20:42,561",0.264,0.018
"2024-08-27 16:51:29,874",0.220,0.038
"2024-08-27 17:22:17,843",0.220,0.014
"2024-08-27 17:53:05,173",0.220,0.033
"2024-08-27 18:23:52,982",0.308,-0.035
"2024-08-27 18:54:41,216",0.176,0.028
"2024-08-27 19:25:32,176",0.220,0.048
"2024-08-27 19:56:22,574",0.264,0.024
"2024-08-27 20:27:11,191",0.220,0.043
"2024-08-27 20:58:00,207",0.308,0.018
"2024-08-27 21:28:47,825",0.220,0.037
"2024-08-27 21:59:36,486",0.264,0.011
"2024-08-27 22:30:24,392",0.220,0.030
"2024-08-27 23:01:12,298",0.264,0.048
"2024-08-27 23:32:00,435",0.264,0.022
"2024-08-28 00:02:48,489",0.220,0.041
"2024-08-28 00:33:35,486",0.308,-0.029
"2024-08-28 01:04:22,996",0.220,0.032
"2024-08-28 01:35:10,297",0.264,0.050
"2024-08-28 02:05:58,540",0.220,0.024
"2024-08-28 02:36:45,902",0.220,0.041
"2024-08-28 03:07:33,384",0.308,0.014
"2024-08-28 03:38:19,767",0.176,0.031
"2024-08-28 04:09:07,069",0.264,0.048
"2024-08-28 04:39:53,259",0.220,0.021
"2024-08-28 05:10:40,121",0.264,0.038
"2024-08-28 05:41:28,914",0.264,0.010
"2024-08-28 06:12:15,960",0.264,0.027
"2024-08-28 06:43:01,208",0.220,0.043
"2024-08-28 07:13:48,401",0.308,0.015
"2024-08-28 07:44:34,803",0.220,0.031
"2024-08-28 08:15:21,842",0.264,0.047
"2024-08-28 08:46:08,454",0.264,0.019
"2024-08-28 09:16:55,811",0.220,0.034
"2024-08-28 09:47:42,397",0.220,0.050
"2024-08-28 10:18:29,979",0.308,0.021
"2024-08-28 10:49:16,121",0.220,-0.007
